#exchange reactions
R001ex	1 C00001[e] <->
R02196[c]	1 C00407[c] + 1 C00003[c] + 1 C00001[c] -> 1 C00671[c] + 1 C00014[c] + 1 C00004[c] + 1 C00080[c]
R02199[c]	1 C00671[c] + 1 C00025[c] -> 1 C00407[c] + 1 C00026[c] 
R03896[c]	1 C02612[c] -> 1 C02226[c] + 1 C00001[c]
R03898[c]	1 C02226[c] + 1 C00001[c] -> 1 C06032[c]
R03968[c]	1 C02504[c] <-> 1 C02631[c] + 1 C00001[c]
R04001[c]	1 C04411[c] <-> 1 C02631[c] + 1 C00001[c]
R04426[c]	1 C04411[c] + 1 C00003[c] -> 1 C04236[c] + 1 C00004[c] + 1 C00080[c]
R04440[c]	1 C04272[c] + 1 C00006[c] <-> 1 C04181[c] + 1 C00005[c] + 1 C00080[c]
R05071[c]	1 C06010[c] <-> 1 C04181[c]
R04441[c]	1 C04272[c] -> 1 C00141[c] + 1 C00001[c]
R05068[c]	1 C06007[c] + 1 C00006[c] <-> 1 C14463[c] + 1 C00005[c] + 1 C00080[c]
R05069[c]	1 C06006[c] <-> 1 C14463[c]
R05070[c]	1 C06007[c] -> 1 C00671[c] + 1 C00001[c]
R07399[c]	1 C00024[c] + 1 C00022[c] + 1 C00001[c] -> 1 C02612[c] + 1 C00010[c]
R08648[c]	1 C00022[c] + 1 C00109[c] -> 1 C06006[c] + 1 C00011[c]
#Valine, Leucine, and Isoleucine degredation
R01357[c]	1 C00002[c] + 1 C00164[c] + 1 C00010[c] -> 1 C00020[c] + 1 C00013[c] + 1 C00332[c]
R01360[c]	1 C00356[c] -> 1 C00024[c] + 1 C00164[c]
R02085[c]	1 C00356[c] <-> 1 C03231[c] + 1 C00001[c]
R04137[c]	1 C05998[c] <-> 1 C03069[c] + 1 C00001[c]
R04204[c]	1 C04405[c] <-> 1 C03345[c] + 1 C00001[c]
R04224[c]	1 C03460[c] + 1 C00001[c] <-> 1 C06000[c]
R05064[c]	1 C06000[c] + 1 C00001[c] <-> 1 C00010[c] + 1 C06001[c]
R05066[c]	1 C06001[c] + 1 C00003[c] <-> 1 C06002[c] + 1 C00004[c] + 1 C00080[c]
R00410[c]	1 C00091[c] + 1 C00164[c] -> 1 C00042[c] + 1 C00332[c]
R00927[c]	1 C00010[c] + 1 C03344[c] -> 1 C00100[c] + 1 C00024[c]
#Cysteine methionine metabolism
R02408[c]	1 C00491[c] + 1 C00001[c] <-> 1 C00022[c] + 1 C00014[c] + 1 C01962[c]
R10991[c]	1 C02356[c] + 1 C00026[c] -> 1 C00109[c] + 1 C00025[c]
R10992[c]	1 C00041[c] + 1 C00109[c] <-> 1 C00022[c] + 1 C02356[c]
R00782[c]	1 C00097[c] + 1 C00001[c] -> 1 C00283[c] + 1 C00022[c] + 1 C00014[c]
R00177[c]	1 C00002[c] + 1 C00073[c] + 1 C00001[c] -> 1 C00009[c] + 1 C00013[c] + 1 C00019[c]
R00893[c]	1 C00097[c] + 1 C00007[c] -> 1 C00606[c]
R01286[c]	1 C02291[c] + 1 C00001[c] -> 1 C00155[c] + 1 C00014[c] + 1 C00022[c]
R01402[c]	1 C00170[c] + 1 C00009[c] -> 1 C00147[c] + 1 C04188[c]
R01776[c]	1 C00024[c] + 1 C00263[c] -> 1 C00010[c] + 1 C01077[c]
R02619[c]	1 C00606[c] + 1 C00026[c] <-> 1 C05527[c] + 1 C00025[c]
R04861[c]	1 C05527[c] + 1 C00001[c] <-> 1 C00094[c] + 1 C00022[c]
R03217[c]	1 C01077[c] + 1 C00097[c] -> 1 C02291[c] + 1 C00033[c]
R03260[c]	1 C01118[c] + 1 C00097[c] -> 1 C02291[c] + 1 C00042[c]
R04405[c]	1 C04489[c] + 1 C00155[c] -> 1 C04144[c] + 1 C00073[c]
R04420[c]	1 C04188[c] -> 1 C04582[c]
R07364[c]	1 C15606[c] + 1 C00007[c] -> 1 C01180[c] + 1 C00058[c]
R07395[c]	1 C15650[c] + 1 C00001[c] -> 1 C15606[c] + 1 C00009[c]
R07392[c]	1 C04582[c] -> 1 C15650[c] + 1 C00001[c]
R07396[c]	1 C01180[c] + 1 C00025[c] -> 1 C00073[c] + 1 C00026[c]
R00897[c]	1 C00979[c] + 1 C00283[c] -> 1 C00097[c] + 1 C00033[c]
R00586[c]	1 C00065[c] + 1 C00024[c] <-> 1 C00979[c] + 1 C00010[c]
#Selenocompound metabolism
R03599[c]	1 C05688[c] + 1 C00003[c] <-> 1 C01528[c] + 1 C00041[c] + 1 C00004[c]
R04929[c]	1 C00002[c] + 1 C05697[c] <-> 1 C00013[c] + 1 C05686[c]
R04941[c]	1 C05699[c] + 1 C00001[c] -> 1 C05698[c] + 1 C00014[c] + 1 C00022[c]
R04944[c]	1 C05702[c] + 1 C05688[c] <-> 1 C05699[c] + 1 C00009[c]
R04946[c]	1 C01118[c] + 1 C05688[c] -> 1 C05699[c] + 1 C00042[c]
R09365[c]	1 C05698[c] + 1 C04489[c] -> 1 C05335[c] + 1 C04144[c]
R04931[c]	1 C05688[c] + 1 C00019[c] <-> 1 C05689[c] + 1 C00021[c]
R04929[im]	1 C00002[im] + 1 C05697[im] <-> 1 C00013[im] + 1 C05686[im]
R04770[im]	1 C05335[im] + 1 C00001[im] <-> 1 C05703[im] + 1 C00014[im] + 1 C00109[im]
R09366[im]	1 C05689[im] + 1 C00001[im] <-> 1 C00022[im] + 1 C00014[im] + 1 C05703[im]
R03596[im]	1 C01528[im] + 3 C00006[im] + 3 C00001[im] <-> 1 C05684[im] + 3 C00005[im] + 5 C00080[im]
R09371[im]	1 C00019[im] + 1 C01528[im] <-> 1 C00021[im] + 1 C05703[im]
#Sulfur metabolism
R00508[c]	1 C00053[c] + 1 C00001[c] -> 1 C00224[c] + 1 C00009[c]
R00859[c]	1 C00283[c] + 6 C00139[c] + 3 C00001[c] <-> 1 C00094[c] + 6 C00138[c] + 6 C00080[c]
R00530[c]	1 C00008[c] + 1 C00080[c] + 1 C00059[c] -> 1 C00009[c] + 1 C00224[c]
R00858[c]	1 C00094[c] + 3 C00005[c] + 3 C00080[c] -> 1 C00283[c] + 3 C00006[c] + 3 C00001[c]
R01931[c]	1 C00320[c] + 1 C00177[c] <-> 1 C00094[c] + 1 C01755[c]
R02021[c]	1 C00342[c] + 1 C00053[c] -> 1 C00343[c] + 1 C00094[c] + 1 C00054[c]
R07210[c]	1 C15521[c] + 1 C01847[c] + 1 C00007[c] <-> 1 C00071[c] + 1 C00061[c] + 1 C00094[c] + 1 C00001[c]
R10151[c]	1 C00320[c] + 5 C00001[c] + 8 C00125[c] -> 2 C00059[c] + 8 C00126[c] + 7 C00080[c]
R10206[c]	1 C11145[c] + 1 C01847[c] + 1 C00007[c] <-> 1 C00061[c] + 1 C00094[c] + 1 C00001[c] + 1 C00067[c]
#Starch and sucrose metabolism
R00010[c]	1 C01083[c] + 1 C00001[c] -> 2 C00031[c]
R00289[c]	1 C00075[c] + 1 C00103[c] -> 1 C00013[c] + 1 C00029[c]
R00299[c]	1 C00002[c] + 1 C00031[c] -> 1 C00008[c] + 1 C00092[c]
R00308[c]	1 C00965[c] + 1 C00001[c] -> 1 C00031[c]
R00760[c]	1 C00002[c] + 1 C00095[c] <-> 1 C00008[c] + 1 C00085[c]
R00771[c]	1 C00092[c] <-> 1 C00085[c]
R00803[c]	1 C00089[c] + 1 C00009[c] -> 1 C00095[c] + 1 C00103[c]
R00811[c]	1 C00089[c] + 1 C04261[c] -> 1 C16688[c] + 1 C00615[c]
R00948[c]	1 C00002[c] + 1 C00103[c] -> 1 C00013[c] + 1 C00498[c]
R01823[c]	1 C00089[c] -> 1 C00095[c] + 1 C00718[c]
R02110[c]	2 C00718[c] -> 1 C00369[c]
R02120[c]	1 C00089[c] -> 1 C00095[c] + 1 C00372[c]
R02121[c]	1 C00372[c] <-> 1 C00718[c]
R02421[c]	1 C00498[c] -> 1 C00008[c] + 1 C00718[c]
R02737[c]	1 C00029[c] + 1 C00668[c] -> 1 C00015[c] + 1 C00689[c]
R02778[c]	1 C00689[c] + 1 C00001[c] -> 1 C01083[c] + 1 C00009[c]
R03118[c]	1 C00029[c] -> 1 C00015[c] + 1 C00965[c]
R03526[c]	1 C00029[c] + 1 C01335[c] -> 1 C00015[c] + 1 C00963[c]
R03527[c]	1 C00963[c] + 1 C00001[c] -> 1 C00031[c] + 1 C01335[c]
R03921[c]	1 C16688[c] + 1 C00001[c] -> 1 C00095[c] + 1 C00092[c]
R04111[c]	1 C04261[c] + 1 C00208[c] <-> 1 C00615[c] + 1 C02995[c]
R10486[c]	1 C02995[c] + 1 C00001[c] <-> 1 C00208[c] + 1 C00009[c]
R11310[c]	1 C00663[c] <-> 1 C00092[c]
R01790[c]	1 C00369[c] + 1 C00001[c] -> 1 C00031[c]
R904[c]	4 C00103[c] -> 1 C00182[c] + 4 C00009[c]
R02728[c]	1 C00663[c] <-> 1 C01172[c]
#The Citric Acid (TCA) cycle
R00014[im]	1 C00022[im] + 1 C00068[im] -> 1 C05125[im] + 1 C00011[im]
R03270[im]	1 C05125[im] + 1 C15972[im] -> 1 C16255[im] + 1 C00068[im]
