#exchange reactions
R001ex	1 C00001[e] <->
R04318[c]	1 C16672[c] <-> 1 C05551[c] + 1 C00001[c]
R04437[c]	1 C07282[c] + 1 C00003[c] + 1 C00007[c] <-> 1 C04679[c] + 1 C00004[c] + 1 C00001[c]
R04482[c]	1 C05364[c] <-> 1 C04324[c]
R04494[c]	1 C00043[c] + 1 C04500[c] <-> 1 C00015[c] + 1 C04537[c]
R04586[c]	1 C04884[c] + 1 C00001[c] <-> 1 C04730[c] + 1 C01132[c]
R04671[c]	1 C05110[c] <-> 1 C05111[c]
R04805[c]	1 C05444[c] + 1 C00003[c] <-> 1 C05445[c] + 1 C00004[c] + 1 C00080[c]
R04868[c]	1 C05557[c] + 1 C00582[c] + 1 C00001[c] <-> 1 C05551[c] + 1 C00956[c] + 1 C00010[c]
R04928[c]	1 C00002[c] + 1 C05686[c] <-> 1 C00008[c] + 1 C05696[c]
R04942[c]	1 C00065[c] + 1 C05698[c] <-> 1 C05699[c] + 1 C00001[c]
R04945[c]	1 C01077[c] + 1 C05688[c] <-> 1 C05699[c] + 1 C00033[c]
R04949[c]	1 C05713[c] + 1 C00001[c] <-> 1 C05712[c] + 1 C00031[c]
R05102[c]	1 C06109[c] + 1 C00005[c] <-> 1 C06110[c] + 1 C00006[c] + 1 C00080[c]
R05197[c]	1 C00002[c] + 1 C05928[c] + 1 C00025[c] <-> 1 C00008[c] + 1 C00009[c] + 1 C05929[c]
R05334[c]	1 C02723[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C10974[c] + 1 C00027[c] + 1 C00014[c]
R05595[c]	1 C00877[c] + 1 C00001[c] <-> 1 C05116[c]
R05722[c]	1 C02060[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C07343[c] + 1 C00042[c] + 1 C00011[c]
R05755[c]	3 C00080[c] + 1 C00019[c] + 1 C06697[c] <-> 1 C00021[c] + 1 C07294[c]
R05763[c]	1 C00019[c] + 1 C02341[c] -> 1 C00021[c] + 1 C11514[c]
R05782[c]	1 C11529[c] + 1 C00001[c] <-> 1 C00151[c] + 1 C00014[c] + 1 C00011[c]
R05861[c]	1 C00133[c] + 1 C00001[c] + 1 C00007[c] <-> 1 C00022[c] + 1 C00014[c] + 1 C00027[c]
R06134[c]	1 C00241[c] + 1 C00001[c] <-> 1 C00080[c] + 1 C00060[c] + 1 C00014[c]
R06154[c]	1 C00218[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C00067[c] + 1 C00014[c] + 1 C00027[c]
R06861[c]	1 C00231[c] + 1 C00068[c] <-> 1 C13378[c] + 1 C00118[c]
R06863[c]	1 C05382[c] + 1 C00068[c] <-> 1 C13378[c] + 1 C00117[c]
R07140[c]	1 C14180[c] + 1 C00006[c] -> 1 C01031[c] + 1 C00005[c] + 1 C00080[c]
R07285[c]	1 C00066[c] + 1 C00009[c] <-> 1 C00454[c]
R07314[c]	1 C00640[c] <-> 1 C05067[c] + 1 C00001[c]
R07316[c]	1 C01563[c] <-> 1 C00014[c] + 1 C00011[c]
R07329[c]	1 C02099[c] + 1 C00026[c] + 1 C00007[c] <-> 1 C21417[c] + 1 C00042[c] + 1 C00011[c]
R07330[c]	1 C00019[c] + 1 C15571[c] <-> 1 C00021[c] + 1 C15572[c]
R07360[c]	1 C06751[c] + 1 C00007[c] + 1 C00001[c] <-> 1 C15604[c] + 1 C00097[c] + 1 C00027[c]
R07627[c]	1 C16014[c] + 1 C00001[c] <-> 1 C16015[c]
R08539[c]	1 C00005[c] + 2 C00996[c] -> 1 C00080[c] + 1 C00006[c] + 2 C00999[c]
R08551[c]	1 C03161[c] + 1 C00005[c] + 1 C00080[c] <-> 1 C03024[c] + 1 C00006[c]
R08575[c]	1 C05382[c] + 1 C00118[c] <-> 1 C00279[c] + 1 C00085[c]
R08602[c]	1 C17202[c] + 1 C00001[c] <-> 1 C00249[c] + 1 C02743[c]
R08707[c]	1 C04375[c] + 1 C00001[c] <-> 1 C01239[c] + 1 C02871[c]
R09381[c]	1 C00173[c] + 1 C00681[c] <-> 1 C00229[c] + 1 C00416[c]
R10079[c]	1 C01417[c] + 1 C00288[c] + 1 C00080[c] -> 1 C00014[c] + 2 C00011[c]
R10092[c]	1 C00288[c] + 1 C00080[c] <-> 1 C00011[c] + 1 C00001[c]
R10159[c]	2 C00662[c] + 1 C00006[c] + 1 C00080[c] <-> 2 C00667[c] + 1 C00005[c]
R10209[c]	1 C01977[c] + 1 C16675[c] <-> 1 C20446[c] + 1 C00242[c]
R10267[c]	1 C00008[c] + 1 C04856[c] <-> 1 C00020[c] + 1 C00009[c] + 1 C00004[c]
R10268[c]	1 C00008[c] + 1 C04899[c] <-> 1 C00020[c] + 1 C00009[c] + 1 C00005[c]
R10484[c]	1 C00154[c] + 1 C02743[c] <-> 1 C17202[c] + 1 C00010[c]
R10813[c]	1 C00201[c] <-> 1 C20864[c] + 1 C00013[c]
R10845[c]	1 C20895[c] + 1 C00026[c] <-> 1 C20646[c] + 1 C00025[c]
R10951[c]	1 C00002[c] + 1 C01194[c] <-> 1 C00008[c] + 1 C11557[c]
R10953[c]	1 C00002[c] + 1 C01272[c] <-> 1 C00008[c] + 1 C01284[c]
R11231[c]	1 C00450[c] + 1 C00003[c] + 2 C00001[c] -> 1 C00956[c] + 1 C00004[c] + 1 C00080[c]
R11232[c]	1 C00450[c] + 1 C00006[c] + 2 C00001[c] -> 1 C00956[c] + 1 C00005[c] + 1 C00080[c]
R11399[c]	1 C03862[c] + 1 C19803[c] <-> 1 C00110[c] + 1 C20722[c]
R11500[c]	1 C21418[c] + 1 C00006[c] <-> 1 C21417[c] + 1 C00005[c] + 1 C00080[c]
R00157[c]	1 C00075[c] + 1 C00020[c] <-> 1 C00015[c] + 1 C00008[c]
R00390[c]	1 C00002[c] + 1 C00347[c] + 1 C00010[c] -> 1 C00020[c] + 1 C00013[c] + 1 C00024[c]
R00381[c]	1 C00002[c] + 1 C02128[c] -> 1 C00020[c] + 1 C00013[c]
R00900[c]	1 C00080[c] + 1 C00097[c] + 1 C00051[c] + 1 C00006[c] <-> 1 C05526[c] + 1 C00005[c]
R11104[c]	1 C00004[c] + 1 C00001[c] <-> 1 C00020[c] + 1 C21113[c]
R01515[c]	1 C00236[c] + 1 C00001[c] -> 1 C00197[c] + 1 C00009[c]
R02515[c]	1 C05593[c] + 1 C00007[c] + 1 C00004[c] + 1 C00080[c] -> 1 C00544[c] + 1 C00003[c] + 1 C00001[c]
R04672[c]	1 C06010[c] + 1 C00068[c] <-> 1 C05125[c] + 1 C00022[c]
R04930[c]	1 C05699[c] + 1 C00001[c] -> 1 C05688[c] + 1 C00014[c] + 1 C00109[c]
R03225[c]	1 C03197[c] + 1 C00026[c] <-> 1 C00164[c] + 1 C01087[c]
R07290[c]	1 C00798[c] + 1 C00209[c] <-> 1 C00058[c] + 1 C00313[c]
#aminoacyl-tRNA biosynthesis
R03905[im]	1 C02282[im] + 1 C00025[im] + 1 C00009[im] + 1 C00008[im] <-> 1 C06112[im] + 1 C00064[im] + 1 C00002[im] + 1 C00001[im]
R03664[im]	1 C00002[im] + 1 C00078[im] + 1 C01652[im] <-> 1 C00020[im] + 1 C00013[im] + 1 C03512[im]
#cyanoamino acid metabolism
R07638[im]	1 C16075[im] <-> 1 C16074[im] + 1 C00001[im]
#Lipoic Acid Metabolism
R07769[im]	1 C16239[im] + 1 C16240[im] -> 1 C16237[im] + 1 C00229[im]
R07766[im]	1 C05752[im] + 1 C16240[im] -> 1 C16236[im] + 1 C00229[im]
#Linolenic Acid Metabolism
R07899[im]	1 C16339[im] + 1 C00024[im] <-> 1 C00010[im] + 1 C16338[im]
R07055[im]	1 C01595[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14825[im] + 1 C00006[im] + 1 C00001[im]
R07056[im]	1 C01595[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14826[im] + 1 C00006[im] + 1 C00001[im]
#Arginine Biosynthesis
R00355[im]	1 C00049[im] + 1 C00026[im] -> 1 C00036[im] + 1 C00025[im]
R00258[im]	1 C00041[im] + 1 C00026[im] -> 1 C00022[im] + 1 C00025[im]
R09107[im]	1 C15532[im] + 1 C00001[im] <-> 1 C00033[im] + 1 C00327[im]
R02283[im]	1 C00437[im] + 1 C00026[im] <-> 1 C01250[im] + 1 C00025[im]
#Glycine, serine, and threonine metabolism
R00220[im]	1 C00065[im] -> 1 C00022[im] + 1 C00014[im]
R00945[im]	1 C00143[im] + 1 C00037[im] + 1 C00001[im] <-> 1 C00101[im] + 1 C00065[im]
#Histidine metabolism
R00254[im]	1 C00025[im] + 1 C00014[im] + 1 C00011[im] <-> 1 C05829[im] + 1 C00001[im]
#Alanine, Aspartate, Glutamine metabolism
R00483[im]	1 C00002[im] + 1 C00049[im] + 1 C00014[im] -> 1 C00020[im] + 1 C00013[im] + 1 C00152[im]
#pyrimidine metabolism
R02093[im]	1 C00002[im] + 1 C00363[im] -> 1 C00008[im] + 1 C00459[im]
R00571[im]	1 C00002[im] + 1 C00075[im] + 1 C00014[im] -> 1 C00008[im] + 1 C00009[im] + 1 C00063[im]
R00968[im]	1 C00044[im] + 1 C00299[im] -> 1 C00035[im] + 1 C00105[im]
R02091[c]	1 C00286[c] + 1 C00475[c] -> 1 C00361[c] + 1 C00055[c]
#Microbial metabolism in diverse environments
R00209[im]	1 C00010[im] + 1 C00003[im] + 1 C00022[im] -> 1 C00024[im] + 1 C00011[im] + 1 C00004[im]
R00754[im]	1 C00084[im] + 1 C00004[im] + 1 C00080[im] <- 1 C00469[im] + 1 C00003[im]
R02989[im]	1 C00846[im] + 1 C00006[im] -> 1 C02222[im] + 1 C00005[im] + 1 C00080[im]
R02988[im]	1 C00846[im] + 1 C00003[im] -> 1 C02222[im] + 1 C00004[im] + 1 C00080[im]
R05259[im]	1 C06604[im] + 1 C03024[im] + 1 C00007[im] <-> 1 C06606[im] + 1 C03161[im] + 1 C00087[im] + 1 C00001[im]
R05358[im]	1 C01998[im] + 2 C00001[im] <-> 1 C00511[im] + 1 C00014[im]
R05506[im]	1 C07118[im] + 1 C00010[im] -> 1 C00512[im] + 1 C00024[im]
R05586[im]	1 C06715[im] + 1 C00010[im] -> 1 C00527[im] + 1 C00024[im]
R01067[im]	1 C00085[im] + 1 C00118[im] <-> 1 C00279[im] + 1 C00231[im]
R07939[im]	1 C07481[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C13747[im] + 1 C00006[im] + 1 C00067[im] + 1 C00001[im]
#Purine Metabolism
R00127[im]	1 C00002[im] + 1 C00020[im] -> 2 C00008[im]
R01130[im]	1 C00130[im] + 1 C00003[im] + 1 C00001[im] -> 1 C00655[im] + 1 C00004[im] + 1 C00080[im]
#CoA biosynthesis
R01226[im]	1 C00143[im] + 1 C00141[im] + 1 C00001[im] -> 1 C00101[im] + 1 C00966[im]
#Glyoxylate and dicarboxylate metabolism
R01221[im]	1 C00037[im] + 1 C00101[im] + 1 C00003[im] -> 1 C00143[im] + 1 C00014[im] + 1 C00011[im] + 1 C00004[im] + 1 C00080[im]
#Xenobiotic Metabolism
R07021[im]	1 C14040[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14802[im] + 1 C00006[im] + 1 C00001[im]
R07022[im]	1 C14040[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14800[im] + 1 C00006[im] + 1 C00001[im]
R07000[im]	1 C00829[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14786[im] + 1 C00006[im] + 1 C00001[im]
R07001[im]	1 C00829[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14787[im] + 1 C00006[im] + 1 C00001[im]
R07085[im]	1 C14852[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14853[im] + 1 C00006[im] + 1 C00001[im]
R07087[im]	1 C14556[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14854[im] + 1 C00006[im] + 1 C00001[im]
R07098[im]	1 C06790[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C11148[im] + 1 C00006[im] + 1 C00001[im]
R07099[im]	1 C06790[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14866[im] + 1 C00006[im] + 1 C00001[im]
R07079[im]	1 C07535[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14849[im] + 1 C00006[im] + 1 C00001[im]
R07080[im]	1 C07535[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14850[im] + 1 C00006[im] + 1 C00001[im]
R07081[im]	1 C07535[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C14851[im] + 1 C00006[im] + 1 C00001[im]
R09404[im]	1 C06800[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19585[im] + 1 C00001[im] + 1 C00006[im]
R09405[im]	1 C06800[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C16756[im] + 1 C00001[im] + 1 C00006[im]
R09406[im]	1 C16756[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19594[im] + 1 C00001[im] + 1 C00006[im]
R09407[im]	1 C06800[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19595[im] + 1 C00001[im] + 1 C00006[im]
R09408[im]	1 C06800[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19586[im] + 1 C00001[im] + 1 C00006[im]
R09418[im]	1 C19490[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19559[im] + 1 C00001[im] + 1 C00006[im]
R09416[im]	1 C19488[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19489[im] + 1 C00001[im] + 1 C00006[im]
R09421[im]	1 C16453[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19563[im] + 1 C00001[im] + 1 C00006[im]
R09423[im]	1 C16453[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19566[im] + 1 C00001[im] + 1 C00006[im]
R09424[im]	1 C19574[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19577[im] + 1 C00001[im] + 1 C00006[im]
R09425[im]	1 C19574[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19580[im] + 1 C00001[im] + 1 C00006[im]
R09442[im]	1 C19488[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C19604[im] + 1 C00001[im] + 1 C00006[im]
#Valine, Leucine, and Isoleucine degredation
R01214[im]	1 C00183[im] + 1 C00026[im] <-> 1 C00141[im] + 1 C00025[im]
R01357[im]	1 C00002[im] + 1 C00164[im] + 1 C00010[im] -> 1 C00020[im] + 1 C00013[im] + 1 C00332[im]
#Valine, Leucine, and Isoleucine synthesis
R04441[im]	1 C04272[im] -> 1 C00141[im] + 1 C00001[im] 
R05071[im]	1 C06010[im] <-> 1 C04181[im]
#Ubiquinone metabolism
R07235[im]	1 C00019[im] + 1 C03226[im] <-> 1 C00021[im] + 1 C01967[im]
R04711[im]	1 C00019[im] + 1 C05200[im] <-> 1 C00021[im] + 1 C05313[im]
R04983[im]	1 C05803[im] + 1 C00019[im] <-> 1 C05804[im] + 1 C00021[im]
R04990[im]	1 C05813[im] + 1 C00019[im] <-> 1 C05814[im] + 1 C00021[im]
R02175[im]	1 C05805[im] + 1 C00019[im] <-> 1 C17568[im] + 1 C00021[im]
#Folate synthesis 
R04241[im]	1 C00002[im] + 1 C00025[im] <-> 1 C00008[im] + 1 C00009[im] + 1 C03541[im]
R02237[im]	1 C00002[im] + 1 C00921[im] + 1 C00025[im] -> 1 C00008[im] + 1 C00009[im] + 1 C00415[im]
#Terpenoid synthesis
R02245[im]	1 C00002[im] + 1 C00418[im] <-> 1 C00008[im] + 1 C01107[im]
#Steroid hormone synthesis
R03408[im]	1 C01227[im] + 1 C00080[im] + 1 C00007[im] + 1 C00005[im] <-> 1 C05139[im] + 1 C00006[im] + 1 C00001[im]
R03088[im]	1 C00951[im] + 1 C00080[im] + 1 C00007[im] + 1 C00004[im] -> 1 C05301[im] + 1 C00003[im] + 1 C00001[im]
R03089[im]	1 C00951[im] + 1 C00080[im] + 1 C00007[im] + 1 C00005[im] <-> 1 C05141[im] + 1 C00006[im] + 1 C00001[im]
R03090[im]	1 C00951[im] + 1 C00080[im] + 1 C00007[im] + 1 C00005[im] -> 1 C05301[im] + 1 C00006[im] + 1 C00001[im]
R04762[im]	1 C05298[im] + 1 C00019[im] <-> 1 C05299[im] + 1 C00021[im]
R04764[im]	1 C05301[im] + 1 C00019[im] <-> 1 C05302[im] + 1 C00021[im]
R02354[im]	1 C00468[im] + 1 C00080[im] + 1 C00007[im] + 1 C00004[im] -> 1 C05298[im] + 1 C00003[im] + 1 C00001[im]
R02355[im]	1 C00468[im] + 1 C00080[im] + 1 C00007[im] + 1 C00005[im] -> 1 C05298[im] + 1 C00006[im] + 1 C00001[im]
R02356[im]	1 C00468[im] + 1 C00080[im] + 1 C00007[im] + 1 C00005[im] <-> 1 C05300[im] + 1 C00006[im] + 1 C00001[im]
R02503[im]	1 C00535[im] + 1 C03024[im] + 1 C00007[im] <-> 1 C05291[im] + 1 C03161[im] + 1 C00001[im]
#Lysine degredation
R02397[im]	1 C01181[im] + 1 C00026[im] + 1 C00007[im] <-> 1 C00487[im] + 1 C00042[im] + 1 C00011[im]
#Steroid biosynthesis
R03689[im]	1 C01724[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C05109[im] + 1 C00006[im]
R07507[im]	1 C05107[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C01164[im] + 1 C00006[im]
R07498[im]	1 C05437[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C03845[im] + 1 C00006[im]
R07499[im]	1 C05108[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C15915[im] + 1 C00006[im]
#C5 dibase acid synthesis
R02404[im]	1 C00002[im] + 1 C00490[im] + 1 C00010[im] -> 1 C00008[im] + 1 C00009[im] + 1 C00531[im]
#Tyrosine metabolism
R03304[im]	1 C00019[im] + 1 C01161[im] <-> 1 C00021[im] + 1 C05582[im]
R04887[im]	1 C00019[im] + 1 C05580[im] <-> 1 C00021[im] + 1 C05584[im]
R04881[im]	1 C00019[im] + 1 C05576[im] <-> 1 C00021[im] + 1 C05594[im]
R02534[im]	1 C00019[im] + 1 C00547[im] <-> 1 C00021[im] + 1 C05589[im]
#Tryptophane metabolism
R03936[im]	1 C02700[im] + 1 C00001[im] <-> 1 C05653[im] + 1 C00041[im]
R03629[im]	1 C01598[im] + 1 C03024[im] + 1 C00007[im] <-> 1 C05643[im] + 1 C03161[im] + 1 C00001[im]
R04909[im]	1 C05638[im] + 1 C00011[im] <-> 1 C05651[im]
R02668[im]	1 C03227[im] + 1 C00001[im] <-> 1 C00632[im] + 1 C00041[im]
#Synthesis of antibiotics
R06590[im]	1 C12214[im] + 1 C00117[im] <-> 1 C12215[im] + 1 C05382[im]
R03313[im]	1 C01165[im] + 1 C00009[im] + 1 C00006[im] <-> 1 C03287[im] + 1 C00005[im] + 1 C00080[im]
R08549[im]	1 C00026[im] + 1 C00010[im] + 1 C00003[im] -> 1 C00091[im] + 1 C00011[im] + 1 C00004[im] + 1 C00080[im]
#Retinol Metabolism
R08390[im]	1 C00777[im] + 1 C00005[im] + 1 C00080[im] + 1 C00007[im] <-> 1 C16679[im] + 1 C00006[im] + 1 C00001[im]
R08391[im]	1 C00777[im] + 1 C00005[im] + 1 C00080[im] + 1 C00007[im] <-> 1 C16680[im] + 1 C00006[im] + 1 C00001[im]
R08392[im]	1 C00777[im] + 1 C00005[im] + 1 C00080[im] + 1 C00007[im] <-> 1 C16677[im] + 1 C00006[im] + 1 C00001[im]
#Drug metabolism - cytochrome P450
R03697[im]	1 C01516[im] + 1 C03161[im] + 1 C00067[im] + 1 C00001[im] <-> 1 C06174[im] + 1 C03024[im] + 1 C00007[im]
R08312[im]	1 C06868[im] + 1 C00005[im] + 1 C00080[im] + 1 C00007[im] <-> 1 C07496[im] + 1 C00006[im] + 1 C00001[im]
R08343[im]	1 C07572[im] <-> 1 C16608[im]
R08344[im]	1 C07572[im] <-> 1 C16607[im]
R08345[im]	1 C16608[im] <-> 1 C16609[im]
R08286[im]	1 C07047[im] <-> 1 C16550[im] + 1 C06754[im]
R08287[im]	1 C07047[im] <-> 1 C16555[im] + 1 C06754[im]
R08293[im]	1 C07073[im] <-> 1 C16561[im]
R08294[im]	1 C07073[im] + 1 C00005[im] + 1 C00007[im] + 1 C00080[im] <-> 1 C16560[im] + 1 C00006[im] + 1 C00001[im]
R08265[im]	1 C01516[im] + 1 C03024[im] + 1 C00007[im] <-> 1 C11785[im] + 1 C00067[im] + 1 C03161[im] + 1 C00001[im]
#Hypotaurin emetabolism
R05320[im]	1 C00245[im] + 1 C00026[im] + 1 C00007[im] <-> 1 C00094[im] + 1 C06735[im] + 1 C00042[im] + 1 C00011[im]
#Butanoate Metabolism
R02946[im]	1 C03044[im] + 1 C00003[im] <-> 1 C00810[im] + 1 C00004[im] + 1 C00080[im]
#Inositol phosphate metabolism
R03361[im]	1 C00002[im] + 1 C01194[im] <-> 1 C00008[im] + 1 C01277[im]
#Arachidonic acid metabolism
R07041[im]	1 C00219[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14748[im] + 1 C00006[im] + 1 C00001[im]
R07042[im]	1 C05966[im] <-> 1 C14781[im]
R07043[im]	1 C05966[im] <-> 1 C14813[im]
R07044[im]	1 C14781[im] + 1 C00001[im] <-> 1 C14782[im]
R07045[im]	1 C14813[im] + 1 C00001[im] <-> 1 C14814[im]
R07046[im]	1 C00219[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14749[im] + 1 C00006[im] + 1 C00001[im]
R07048[im]	1 C00219[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14771[im] + 1 C00006[im] + 1 C00001[im]
R07050[im]	1 C00219[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14770[im] + 1 C00006[im] + 1 C00001[im]
R07051[im]	1 C00219[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14769[im] + 1 C00006[im] + 1 C00001[im]
R07052[im]	1 C00219[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14768[im] + 1 C00006[im] + 1 C00001[im]
R07054[im]	1 C00219[im] + 1 C00007[im] + 1 C00005[im] + 1 C00080[im] <-> 1 C14778[im] + 1 C00006[im] + 1 C00001[im]
#Cysteine and methionine metabolism
R04420[im]	1 C04188[im] <-> 1 C04582[im]
R07364[im]	1 C15606[im] + 1 C00007[im] <-> 1 C01180[im] + 1 C00058[im]
#Glycolysis
R00755[im]	1 C05125[im] -> 1 C00084[im] + 1 C00068[im]
#Miscellaneous mitochondrial reactions
R03222[im]	3 C00007[im] + 1 C01079[im] -> 3 C00001[im] + 1 C02191[im] 
R00017[im]	2 C00126[im] + 1 C00027[im] -> 2 C00125[im] + 2 C00001[im] 
R01209[im]	1 C04039[im] -> 1 C00141[im] + 1 C00001[im]
R03051[im]	1 C00900[im] + 1 C00005[im] + 1 C00080[im] -> 1 C04039[im] + 1 C00006[im]
R00157[im]	1 C00075[im] + 1 C00020[im] <-> 1 C00015[im] + 1 C00008[im]
R00004[im]	1 C00013[im] + 1 C00001[im] <-> 1 C00009[im]
R00081[im]	1 C00007[im] + 4 C00126[im] + 4 C00080[im] -> 4 C00125[im] + 2 C00001[im]
R00057[im]	1 C00007[im] + 2 C01525[im] <-> 1 C02318[im] + 1 C00027[im]
R00381[im]	1 C00002[im] + 1 C02128[im]  -> 1 C00020[im] + 1 C00013[im]
R00390[im]	1 C00002[im] + 1 C00347[im] + 1 C00010[im] -> 1 C00020[im] + 1 C00013[im] + 1 C00024[im]
R00597[im]	1 C00019[im] + 1 C01977[im] <-> 1 C00021[im] + 1 C04157[im]
R00827[im]	1 C00019[im] + 1 C00090[im] <-> 1 C00021[im] + 1 C01502[im]
R01216[im]	1 C00966[im] <-> 1 C00141[im] + 1 C00067[im]
R09737[im]	1 C00019[im] + 1 C19858[im] <-> 1 C00021[im] + 1 C19859[im]
R10092[im]	1 C00288[im] + 1 C00080[im] <-> 1 C00011[im] + 1 C00001[im]
R10159[im]	2 C00662[im] + 1 C00006[im] + 1 C00080[im] <-> 2 C00667[im] + 1 C00005[im]
R10288[im]	1 C00002[im] + 1 C04899[im] <-> 1 C00008[im] + 1 C00009[im] + 1 C00005[im]
R10648[im]	1 C20641[im] + 1 C17324[im] <-> 1 C00020[im] + 1 C20751[im]
R10845[im]	1 C20895[im] + 1 C00026[im] <-> 1 C20646[im] + 1 C00025[im]
R02016[im]	1 C00342[im] + 1 C00006[im] <-> 1 C00343[im] + 1 C00005[im] + 1 C00080[im]
R01654[im]	1 C00002[im] + 1 C00234[im] + 1 C00025[im] <-> 1 C00008[im] + 1 C00009[im] + 1 C05928[im]
R01515[im]	1 C00236[im] + 1 C00001[im] <-> 1 C00197[im] + 1 C00009[im]
R02161[im]	1 C00390[im] + 2 C00125[im] -> 1 C00399[im] + 2 C00126[im] + 2 C00080[im]
R02163[im]	1 C00390[im] + 1 C00003[im] -> 1 C00399[im] + 1 C00004[im] + 1 C00080[im]
R02807[im]	1 C01319[im] + 1 C00006[im] + 1 C00080[im] <-> 1 C00703[im] + 1 C00005[im]
R07606[im]	1 C00073[im] + 1 C00343[im] + 1 C00001[im] <-> 1 C15999[im] + 1 C00342[im]
R06134[im]	1 C00241[im] + 1 C00001[im] <-> 1 C00080[im] + 1 C00060[im] + 1 C00014[im]
R05197[im]	1 C00002[im] + 1 C05928[im] + 1 C00025[im] <-> 1 C00008[im] + 1 C00009[im] + 1 C05929[im]
R05190[im]	1 C00024[im] + 1 C00083[im] + 2 C00005[im] + 4 C00080[im] <-> 1 C02843[im] + 1 C00010[im] + 1 C00011[im] + 2 C00006[im] + 1 C00001[im]
R04673[im]	1 C00109[im] + 1 C05125[im] <-> 1 C06006[im] + 1 C00068[im]
R04672[im]	1 C06010[im] + 1 C00068[im] <-> 1 C05125[im] + 1 C00022[im]
R04710[im]	1 C00080[im] + 1 C00019[im] + 1 C05196[im] + 1 C05197[im] <-> 1 C05198[im] + 1 C00073[im] + 1 C05199[im] + 1 C05312[im]
R03449[im]	1 C00002[im] + 1 C01256[im] <-> 1 C00008[im] + 1 C01293[im]
R03600[im]	1 C05684[im] + 6 C00138[im] + 8 C00080[im] -> 1 C01528[im] + 6 C00139[im] + 3 C00001[im]
R02879[im]	1 C01387[im] + 2 C00340[im] + 1 C00007[im] + 2 C00080[im] <-> 1 C00756[im] + 2 C00435[im] + 1 C00001[im]
R03050[im]	1 C05125[im] + 1 C00022[im] -> 1 C00900[im] + 1 C00068[im]
R07330[im]	1 C00019[im] + 1 C15571[im] <-> 1 C00021[im] + 1 C15572[im]
R07290[im]	1 C00798[im] + 1 C00209[im] <-> 1 C00058[im] + 1 C00313[im]
R04433[im]	1 C04570[im] + 1 C00399[im] <-> 1 C04253[im] + 1 C00390[im]
R04439[im]	1 C04272[im] + 1 C00006[im] <-> 1 C06010[im] + 1 C00005[im] + 1 C00080[im]
R04120[im]	1 C03023[im] + 1 C00343[im] + 1 C00001[im] <-> 1 C03895[im] + 1 C00342[im]
R04122[im]	2 C00080[im] + 1 C03024[im] + 1 C01371[im] + 1 C00007[im] <-> 1 C03161[im] + 1 C01335[im] + 1 C00001[im]
#Galactose metabolism 
