#exchange reactions
R001ex	1 h2o[e] <->
R04439[im]	1 23dhmb[im] + 1 nadp[im] <-> 1 alac__S[im] + 1 nadph[im] + 1 h[im]
R04120[im]	1 C03023[im] + 1 trdox[im] + 1 h2o[im] <-> 1 C03895[im] + 1 trdrd[im]
R04122[im]	2 h[im] + 1 C03024[im] + 1 C01371[im] + 1 o2[im] <-> 1 C03161[im] + 1 C01335[im] + 1 h2o[im]
#Galactose metabolism 
SUCRe1	1 sucr[e] + 1 h2o[e] -> 1 fru[e] + 1 glc__D[e]
R10619[e]	1 gal[e] <-> 1 C00984[e]
GALS41	1 stys[e] + 1 h2o[e] <-> 1 raffin[e] + 1 gal[e]
MELTGH1	1 melt[e] + 1 h2o[e] <-> 1 sbt__D[e] + 1 gal[e]
LCGH1	1 lcts[e] + 1 h2o[e] <-> 1 glc__aD[e] + 1 gal[e]
EPMGH1	1 epm[e] + 1 h2o[e] <-> 1 man[e] + 1 gal[e]
GALIGH1	1 1Dgali[e] + 1 h2o[e] <-> 1 inost[e] + 1 gal[e]
DGGH1	1 6dg[e] + 1 h2o[e] <-> 1 gal[e] + 1 glc__D[e]
RGH1	1 raffin[e] + 1 h2o[e] <-> 1 gal[e] + 1 sucr[e]
#Sphingolipid metabolism
R04019[e]	1 digalside_cho[e] + 1 h2o[e] <-> 1 C02686[e] + 1 gal[e]
R03355[e]	1 C01290[e] + 1 h2o[e] <-> 1 gluside_cho[e] + 1 gal[e]
#Inositol Phosphate metabolism
R03371[e]	1 minohp[e] + 1 h2o[e] <-> 1 C04563[e] + 1 pi[e]
#Tyrosine metabolism
TYROXDApp1	1 tym[e] + 1 h2o[e] + 1 o2[e] <-> 1 4hoxpacd[e] + 1 nh4[e] + 1 h2o2[e]
#Aminosugar metabolism
R02333[e]	1 chtn[e] + 1 h2o[e] <-> 1 C00734[e] + 1 ac[e]
#Lipoic Acid Metabolism
R07766[e]	1 C05752[e] + 1 C16240[e] -> 1 C16236[e] + 1 ACP[e]
R07606[e]	1 met__L[e] + 1 trdox[e] + 1 h2o[e] <-> 1 C15999[e] + 1 trdrd[e]
R07769[e]	1 C16239[e] + 1 C16240[e] -> 1 C16237[e] + 1 ACP[e]
#Microbial metabolism in diverse environments
R07827[e]	1 C05618[e] + 1 o2[e] <-> 1 C16266[e]
#Miscellaneous extracellular reactions
R04120[e]	1 C03895[e] + 1 trdrd[e] -> 1 C03023[e] + 1 trdox[e] + 1 h2o[e]
R10092[e]	1 hco3[e] + 1 h[e] <-> 1 co2[e] + 1 h2o[e]
R03618[e]	1 thcrm_cho[e] + 1 h2o[e] <-> 1 gal[e] + 1 C01290[e]
R03411[e]	1 amet[e] + 1 C01229[e] -> 1 ahcys[e] + 1 C04340[e]
R03115[e]	1 C00965[e] + 1 h2o[e] <-> 1 glc__aD[e]
R02857[e]	1 C16487[e] + 1 glyclt[e] -> 1 C06108[e] + 1 h2o[e]
R02336[e]	1 C01812[e] + 1 h2o[e] <-> 1 glyclt[e] + 1 C00462[e]
R01853[e]	1 C00375[e] + 1 h2o[e] + 1 o2[e] <-> 1 C00071[e] + 1 nh4[e] + 1 h2o2[e]
LACZ1	1 lcts[e] + 1 h2o[e] -> 1 glc__D[e] + 1 gal[e]
ALKP1	1 dhap[e] + 1 h2o[e] -> 1 dha[e] + 1 pi[e]
MAOX1	1 mma[e] + 1 o2[e] + 1 h2o[e] <-> 1 fald[e] + 1 nh4[e] + 1 h2o2[e]
R05334[e]	1 nmptrc[e] + 1 o2[e] + 1 h2o[e] <-> 1 C10974[e] + 1 h2o2[e] + 1 nh4[e]
#Transport reactions
R400t	1 C04253[c] <- 1 C04253[om]
R401t	1 C04253[om] <- 1 C04253[im]
R402t	1 C04570[im] <- 1 C04570[om]
R403t	1 C04570[om] <- 1 C04570[c]
R001t	1 ac[e] -> 1 ac[c]
R002t	1 glc__D[e] -> 1 glc__D[c]
R005t	1 lys__L[e] -> 1 lys__L[c]
R003t	1 mal__L[c] + 1 2oxoadp[om] <-> 1 mal__L[om] + 1 2oxoadp[c]
R004t	1 mal__L[om] + 1 2oxoadp[im] <-> 1 mal__L[im] + 1 2oxoadp[om]
R013t	1 adp[c] + 1 atp[om] -> 1 adp[om] + 1 atp[c]
R014t	1 adp[om] + 1 atp[im] -> 1 adp[im] + 1 atp[om]
R015t	1 akg[c] + 1 cit[om] <-> 1 akg[om] + 1 cit[c]
R016t	1 akg[om] + 1 cit[im] <-> 1 akg[im] + 1 cit[om]
R020t	1 asp__L[om] + 1 glu__L[c] <-> 1 asp__L[c] + 1 glu__L[om]
R021t	1 asp__L[im] + 1 glu__L[om] <-> 1 asp__L[om] + 1 glu__L[im]
R023t	1 mal__L[om] + 1 cit[c] <-> 1 mal__L[c] + 1 cit[om]
R024t	1 mal__L[im] + 1 cit[om] <-> 1 mal__L[om] + 1 cit[im]
R025t	1 cit[c] + 1 pep[om] <-> 1 cit[om] + 1 pep[c]
R026t	1 cit[om] + 1 pep[im] <-> 1 cit[im] + 1 pep[om]
R027t	1 cit[c] + 1 icit[om] <-> 1 cit[om] + 1 icit[c]
R028t	1 cit[om] + 1 icit[im] <-> 1 cit[im] + 1 icit[om]
R029t	1 coa[c] <-> 1 coa[om]
R030t	1 coa[om] <-> 1 coa[im]
R031t	1 cmp[om] + 1 ctp[c] + 1 h[c] <-> 1 cmp[c] + 1 ctp[om] + 1 h[om]
R032t	1 cmp[im] + 1 ctp[om] + 1 h[om] <-> 1 cmp[om] + 1 ctp[im] + 1 h[im]
R038t	1 lac__D[c] + 1 h[c] <-> 1 lac__D[om] + 1 h[om]
R039t	1 lac__D[om] + 1 h[om] <-> 1 lac__D[im] + 1 h[im]
R040t	1 man[e] + 1 h[e] <-> 1 man[c] + 1 h[c]
R045t	1 fadh2[om] <-> 1 fadh2[c]
R046t	1 fadh2[im] <-> 1 fadh2[om]
R074t	1 lac__L[c] <-> 1 lac__L[om]
R075t	1 lac__L[om] <-> 1 lac__L[im]
R079t	1 h[e] + 1 met__L[e] <-> 1 h[c] + 1 met__L[c]
R082t	1 h[e] + 1 ser__L[e] <-> 1 h[c] + 1 ser__L[c]
R088t	1 mal__L[c] + 1 pi[om] <-> 1 mal__L[om] + 1 pi[c]
R089t	1 mal__L[om] + 1 pi[im] <-> 1 mal__L[im] + 1 pi[om]
R090t	1 h[e] + 1 malt[e] <-> 1 h[c] + 1 malt[c]
R095t	1 amp[om] + 1 nad[c] <-> 1 amp[c] + 1 nad[om]
R096t	1 amp[im] + 1 nad[om] <-> 1 amp[om] + 1 nad[im]
R097t	1 dgmp[om] + 1 nad[c] <-> 1 dgmp[c] + 1 nad[om]
R098t	1 dgmp[im] + 1 nad[om] <-> 1 dgmp[om] + 1 nad[im]
R100t	1 h[c] + 1 C01602[om] <-> 1 h[om] + 1 C01602[c]
R101t	1 h[om] + 1 C01602[im] <-> 1 h[im] + 1 C01602[om]
R103t	1 h[c] + 1 oaa[c] <-> 1 h[om] + 1 oaa[om]
R104t	1 h[om] + 1 oaa[om] <-> 1 h[im] + 1 oaa[im]
R106t	1 pendp[c] <-> 1 pendp[om]
R107t	1 pendp[om] <-> 1 pendp[im]
R109t	1 h[e] + 1 pi[e] <-> 1 h[c] + 1 pi[c]
R110t	1 h[c] + 1 pi[c] -> 1 h[om] + 1 pi[om]
R111t	1 h[om] + 1 pi[om] -> 1 h[im] + 1 pi[im]
R115t	1 h[e] + 1 amet[e] <-> 1 h[c] + 1 amet[c]
R116t	1 amet[c] <-> 1 amet[om]
R117t	1 amet[om] <-> 1 amet[im]
R120t	1 pi[om] + 1 succ[c] <-> 1 pi[c] + 1 succ[om]
R121t	1 pi[im] + 1 succ[om] <-> 1 pi[om] + 1 succ[im]
R122t	1 fum[om] + 1 succ[c] <-> 1 fum[c] + 1 succ[om]
R123t	1 fum[im] + 1 succ[om] <-> 1 fum[om] + 1 succ[im]
R126t	1 dtdp[c] <-> 1 dtdp[om]
R127t	1 dtdp[om] <-> 1 dtdp[im]
R132t	1 fmn[om] + 1 h[c] + 1 ump[om] + 1 utp[c] <-> 1 fmn[c] + 1 h[om] + 1 ump[c] + 1 utp[om]
R133t	1 fmn[im] + 1 h[om] + 1 ump[im] + 1 utp[om] <-> 1 fmn[om] + 1 h[im] + 1 ump[om] + 1 utp[im]
R134t	1 C00965[e] <-> 1 C00965[c]
R136t	1 2dhp[c] <-> 1 2dhp[om]
R137t	1 2dhp[om] <-> 1 2dhp[im]
R139t	1 3c3hmp[c] <-> 1 3c3hmp[om]
R140t	1 3c3hmp[om] <-> 1 3c3hmp[im]
R142t	1 2mbald[c] <-> 1 2mbald[om]
R143t	1 2mbald[om] <-> 1 2mbald[im]
R144t	1 2obut[c] <-> 1 2obut[om]
R145t	1 2obut[om] <-> 1 2obut[im]
R147t	1 2phetoh[e] <-> 1 2phetoh[c]
R148t	1 2phetoh[om] <-> 1 2phetoh[c]
R149t	1 2phetoh[im] <-> 1 2phetoh[om]
R150t	1 3c4mop[c] <-> 1 3c4mop[om]
R151t	1 3c4mop[om] <-> 1 3c4mop[im]
R152t	1 3mop[c] <-> 1 3mop[om]
R153t	1 3mop[om] <-> 1 3mop[im]
R157t	1 3ophb_5[c] <-> 1 3ophb_5[om]
R158t	1 3ophb_5[om] <-> 1 3ophb_5[im]
R159t	1 4abz[c] <-> 1 4abz[e]
R160t	1 4abz[c] <-> 1 4abz[om]
R161t	1 4abz[om] <-> 1 4abz[im]
R162t	1 4abutn[c] <-> 1 4abutn[om]
R163t	1 4abutn[om] <-> 1 4abutn[im]
R164t	1 4abut[c] <-> 1 4abut[om]
R165t	1 4abut[om] <-> 1 4abut[im]
R166t	1 4h2oglt[c] <-> 1 4h2oglt[om]
R167t	1 4h2oglt[om] <-> 1 4h2oglt[im]
R168t	1 4hbz[c] <-> 1 4hbz[om]
R169t	1 4hbz[om] <-> 1 4hbz[im]
R170t	1 5aop[c] <-> 1 5aop[om]
R171t	1 5aop[om] <-> 1 5aop[im]
R172t	1 dann[e] <-> 1 dann[c]
R173t	1 acald[om] <-> 1 acald[c]
R174t	1 acald[im] <-> 1 acald[om]
R175t	1 acald[e] <-> 1 acald[c]
R176t	1 ade[c] <-> 1 ade[om]
R177t	1 ade[om] <-> 1 ade[im]
R181t	1 h[c] + 1 arg__L[c] <-> 1 h[om] + 1 arg__L[om]
R182t	1 h[om] + 1 arg__L[om] <-> 1 h[im] + 1 arg__L[im]
R183t	1 h[e] + 1 gln__L[e] <-> 1 h[c] + 1 gln__L[c]
R184t	1 asn__L[c] <-> 1 asn__L[om]
R185t	1 asn__L[om] <-> 1 asn__L[im]
R189t	1 co2[c] -> 1 co2[e]
R190t	1 co2[om] -> 1 co2[c]
R191t	1 co2[im] -> 1 co2[om]
R194t	1 e4p[c] <-> 1 e4p[om]
R195t	1 e4p[om] <-> 1 e4p[im]
R203t	1 dhnpt[c] <-> 1 dhnpt[om]
R204t	1 dhnpt[om] <-> 1 dhnpt[im]
R205t	1 dhf[c] <-> 1 dhf[om]
R206t	1 dhf[om] <-> 1 dhf[im]
R207t	1 dhpt[c] <-> 1 dhpt[om]
R208t	1 dhpt[om] <-> 1 dhpt[im]
R209t	1 dhap[om] <-> 1 dhap[c]
R210t	1 dhap[im] <-> 1 dhap[om]
R211t	1 C00110[c] <-> 1 C00110[e]
R212t	1 ergtetrol[c] <-> 1 ergtetrol[e]
R214t	1 etoh[c] <-> 1 etoh[e]
R215t	1 etoh[c] <-> 1 etoh[om]
R216t	1 etoh[om] <-> 1 etoh[im]
R220t	1 for[om] <-> 1 for[c]
R221t	1 for[im] <-> 1 for[om]
R224t	1 gly[c] <-> 1 gly[om]
R225t	1 gly[om] <-> 1 gly[im]
R226t	1 gcald[c] <-> 1 gcald[om]
R227t	1 gcald[om] <-> 1 gcald[im]
R228t	1 gcald[e] <-> 1 gcald[c]
R230t	1 gua[c] <-> 1 gua[om]
R231t	1 gua[om] <-> 1 gua[im]
R232t	1 gsn[c] <-> 1 gsn[om]
R233t	1 gsn[om] <-> 1 gsn[im]
R234t	1 gsn[e] <-> 1 gsn[c]
R236t	1 C08362[e] <-> 1 C08362[c]
R237t	1 his__L[c] <-> 1 his__L[om]
R238t	1 his__L[om] <-> 1 his__L[im]
R239t	1 C00356[c] <-> 1 C00356[om]
R240t	1 C00356[om] <-> 1 C00356[im]
R241t	1 hxan[e] <-> 1 hxan[c]
R242t	1 id3acald[c] <-> 1 id3acald[om]
R243t	1 id3acald[om] <-> 1 id3acald[im]
R244t	1 id3acald[c] <-> 1 id3acald[e]
R245t	1 ind3ac[c] <-> 1 ind3ac[om]
R246t	1 ind3ac[om] <-> 1 ind3ac[im]
R247t	1 ins[e] <-> 1 ins[c]
R248t	1 ibutoh[c] <-> 1 ibutoh[e]
R249t	1 ibutoh[c] <-> 1 ibutoh[om]
R250t	1 ibutoh[om] <-> 1 ibutoh[im]
R251t	1 ala__L[om] <-> 1 ala__L[c]
R252t	1 ala__L[im] <-> 1 ala__L[om]
R255t	1 crn[om] <-> 1 crn[c]
R256t	1 crn[im] <-> 1 crn[om]
R258t	1 ile__L[om] <-> 1 ile__L[c]
R259t	1 ile__L[im] <-> 1 ile__L[om]
R261t	1 pro__L[c] <-> 1 pro__L[om]
R262t	1 pro__L[om] <-> 1 pro__L[im]
R266t	1 lys__L[c] <-> 1 lys__L[om]
R267t	1 lys__L[om] <-> 1 lys__L[im]
R268t	1 C00464[c] <-> 1 C00464[e]
R269t	1 met__L[om] <-> 1 met__L[c]
R270t	1 met__L[im] <-> 1 met__L[om]
R275t	1 nmn[e] <-> 1 nmn[c]
R276t	1 acrn[c] <-> 1 acrn[om]
R277t	1 acrn[om] <-> 1 acrn[im]
R278t	1 o2[e] -> 1 o2[c]
R279t	1 o2[c] -> 1 o2[om]
R280t	1 o2[om] -> 1 o2[im]
R282t	1 oaa[c] <-> 1 oaa[e]
R283t	1 pmtcoa[c] <-> 1 pmtcoa[e]
R284t	1 pan4p[c] <-> 1 pan4p[om]
R285t	1 pan4p[om] <-> 1 pan4p[im]
R286t	1 pacald[c] <-> 1 pacald[e]
R287t	1 pacald[c] <-> 1 pacald[om]
R288t	1 pacald[om] <-> 1 pacald[im]
R289t	1 phe__L[c] <-> 1 phe__L[om]
R290t	1 phe__L[om] <-> 1 phe__L[im]
R291t	1 pppg9[c] <-> 1 pppg9[om]
R292t	1 pppg9[om] <-> 1 pppg9[im]
R293t	1 prpp[c] <-> 1 prpp[om]
R294t	1 prpp[om] <-> 1 prpp[im]
R295t	1 ppi[c] <-> 1 ppi[om]
R296t	1 ppi[om] <-> 1 ppi[im]
R297t	1 h[c] + 1 pyr[c] <-> 1 h[om] + 1 pyr[om]
R298t	1 h[om] + 1 pyr[om] <-> 1 h[im] + 1 pyr[im]
R299t	1 quln[c] <-> 1 quln[om]
R300t	1 quln[om] <-> 1 quln[im]
R305t	1 ahcys[c] <-> 1 ahcys[om]
R306t	1 ahcys[om] <-> 1 ahcys[im]
R307t	1 ser__L[c] <-> 1 ser__L[om]
R308t	1 ser__L[om] <-> 1 ser__L[im]
R313t	1 thr__L[c] <-> 1 thr__L[om]
R314t	1 thr__L[om] <-> 1 thr__L[im]
R316t	1 h[c] + 1 tre[c] <-> 1 h[e] + 1 tre[e]
R317t	1 trp__L[c] <-> 1 trp__L[om]
R318t	1 trp__L[om] <-> 1 trp__L[im]
R319t	1 ind3eth[c] <-> 1 ind3eth[e]
R320t	1 ind3eth[c] <-> 1 ind3eth[om]
R321t	1 ind3eth[om] <-> 1 ind3eth[im]
R322t	1 tyr__L[c] <-> 1 tyr__L[om]
R323t	1 tyr__L[om] <-> 1 tyr__L[im]
R324t	1 val__L[c] <-> 1 val__L[om]
R325t	1 val__L[om] <-> 1 val__L[im]
R339t	1 h2o[e] <-> 1 h2o[c]
R340t	1 h2o[c] <-> 1 h2o[om]
R341t	1 h2o[om] <-> 1 h2o[im]
R343t	1 nh4[e] <-> 1 nh4[c]
R344t	1 nh4[c] -> 1 nh4[om]
R345t	1 nh4[om] -> 1 nh4[im]
R346t	1 sucr[e] <-> 1 sucr[c]
R347t	1 C01356[im] <-> 1 C01356[om]
R348t	1 C01356[om] <-> 1 C01356[c]
R349t	1 ocdce9coa[c] <-> 1 ocdce9coa[om]
R350t	1 ocdce9coa[om] <-> 1 ocdce9coa[im]
R351t	1 strcoa[im] <-> 1 strcoa[om]
R352t	1 strcoa[om] <-> 1 strcoa[c]
R353t	1 so4[e] <-> 1 so4[c]
R354t	1 cytd[c] <-> 1 cytd[om]
R355t	1 cytd[om] <-> 1 cytd[im]
R356t	1 dutp[c] <-> 1 dutp[om]
R357t	1 dutp[om] <-> 1 dutp[im]
R358t	1 focytb5[c] <-> 1 focytb5[om]
R359t	1 focytb5[om] <-> 1 focytb5[im]
R360t	1 dctp[c] <-> 1 dctp[om]
R361t	1 dctp[om] <-> 1 dctp[im]
R362t	1 dadp[c] <-> 1 dadp[om]
R363t	1 dadp[om] <-> 1 dadp[im]
R364t	1 X00001[c] <-> 1 X00001[e]
R365t	1 fad[om] -> 1 fad[c]
R366t	1 fad[im] -> C00016[om]
R369t	1 h2s[c] <-> 1 h2s[om]
R370t	1 h2s[om] <-> 1 h2s[im]
R371t	1 selmeth[c] -> 1 selmeth[om]
R372t	1 selmeth[om] -> 1 selmeth[im]
R373t	1 C05689[c] -> 1 C05689[om]
R374t	1 C05689[om] -> 1 C05689[im]
R375t	1 seln[c] <-> 1 seln[om]
R376t	1 seln[om] <-> 1 seln[im]
R377t	1 glyc[e] <-> 1 glyc[c]
R378t	1 udp[e] <-> 1 udp[c]
R379t	1 glyc3p[im] -> 1 glyc3p[om]
R380t	1 glyc3p[om] -> 1 glyc3p[c]
R382t	1 X00002[c] -> 1 X00002[e]
R383t	1 ficytb5[im] -> 1 ficytb5[om]
R384t	1 ficytb5[om] -> 1 ficytb5[c]
R385t	1 dttp[c] <-> 1 dttp[om]
R386t	1 dttp[om] <-> 1 dttp[im]
R387t	1 acgam[c] -> 1 acgam[e]
R388t	1 C01356[c] -> 1 C01356[e]
R389t	1 C00355[c] -> 1 C00355[e]
R390t	1 C00017[c] -> 1 C00017[e]
R391t	1 acgam[c] -> 1 acgam[e]
R392t	1 chtn[c] -> 1 chtn[e]
R399t	1 hom__L[e] <-> 1 hom__L[c]
R502t	1 urate[c] -> 1 urate[e]
#added from first round of OptFill
R01697[c]	1 sbt__D[c] + 1 nadp[c] <-> 1 srb__L[c] + 1 nadph[c] + 1 h[c]
SORD_D1	1 sbt__D[c] + 1 fad[c] <- 1 fadh2[c] + 1 srb__L[c]
ALDD2y1	1 acald[im] + 1 nadp[im] + 1 h2o[im] <-> 1 ac[im] + 1 nadph[im] + 1 h[im]
METOX1	1 met__L[c] + 1 h2o[c] + 1 o2[c] <-> 1 2kmb[c] + 1 nh4[c] + 1 h2o2[c]
METOX1	1 met__L[im] + 1 h2o[im] + 1 o2[im] <-> 1 2kmb[im] + 1 nh4[im] + 1 h2o2[im]
ILEOX1	1 ile__L[im] + 1 h2o[im] + 1 o2[im] <-> 1 3mop[im] + 1 nh4[im] + 1 h2o2[im]
R01915[c]	1 spmd[c] + 1 nadp[c] + 1 h2o[c] <-> 1 C00986[c] + 1 4abutn[c] + 1 nadph[c] + 1 h[c]
R00946[c]	1 5mthf[c] + 1 hcys__L[c] <-> 1 thf[c] + 1 met__L[c]
R02111[c]	1 starch[c] + 1 pi[c] <-> 1 C00718[c] + 1 g1p[c]
AHSERL21	1 achms[c] + 1 h2s[c] <-> 1 hcys__L[c] + 1 ac[c]
CYSS_trdrd1	1 acser[c] + 1 tsul[c] + 1 trdrd[c] + 1 h[c] <-> 1 cys__L[c] + 1 so3[c] + 1 trdox[c] + 1 ac[c]
ARAT1	1 2kmb[im] + 1 glu__L[im] <-> 1 met__L[im] + 1 akg[im]
R03469[c]	1 atp[c] + 1 pail4p_cho[c] <-> 1 adp[c] + 1 pail45p_cho[c]
INSK1	1 atp[c] + 1 ins[c] <-> 1 adp[c] + 1 imp[c]
R01321[c]	1 cdpchol[c] + 1 C00641[c] <-> 1 cmp[c] + 1 pchol_cho[c]
R03115[c]	1 C00965[c] + 1 h2o[c] <-> 1 glc__aD[c]
R00944[c]	1 10fthf[c] + 1 h2o[c] <-> 1 for[c] + 1 thf[c]
NDP31	1 gdp[c] + 1 h2o[c] <-> 1 gmp[c] + 1 pi[c]
SUCOAS1m1	1 gtp[im] + 1 succ[im] + 1 coa[im] <-> 1 gdp[im] + 1 pi[im] + 1 succoa[im]
ITCOAL1m1	1 gtp[im] + 1 itacon[im] + 1 coa[im] <-> 1 gdp[im] + 1 pi[im] + 1 itaccoa[im]
#added from second round of OptFill
R05576[c]	1 C05116[c] + 1 nadp[c] <-> 1 aacoa[c] + 1 nadph[c] + 1 h[c]
R09375[c]	1 25drapp[c] + 1 nadh[c] + 1 h[c] <-> 1 C18910[c] + 1 nad[c]
R01352[c]	1 C02112[c] + 1 h2o[c] <-> 1 glyc[c] + 1 C00162[c]
#added from third round of optfill
R00625[c]	1 C00226[c] + 1 nadp[c] <- 1 C00071[c] + 1 nadph[c] + 1 h[c]
R01093[c]	1 gal[c] + 1 nadh[c] + 1 h[c] <-> 1 galt[c] + 1 nad[c]
R01758[c]	1 abt__L[c] + 1 nad[c] <-> 1 C00259[c] + 1 nadh[c] + 1 h[c]
GALOR1	1 gal[c] + 1 nadph[c] + 1 h[c] -> 1 galt[c] + 1 nadp[c]
XYLR1	1 xylt[c] + 1 nadp[c] <-> 1 xyl__D[c] + 1 nadph[c] + 1 h[c]
R01759[c]	1 abt__L[c] + 1 nadp[c] <- 1 C00259[c] + 1 nadph[c] + 1 h[c]
R09477[c]	1 xylt[c] + 1 nad[c] -> 1 xyl__D[c] + 1 nadh[c] + 1 h[c]
ALDD19xr1	1 pacald[c] + 1 nad[c] + 1 h2o[c] -> 1 C07086[c] + 1 nadh[c] + 1 h[c]
R02695[c]	1 4hoxpacd[c] + 1 nad[c] + 1 h2o[c] -> 1 4hoxpac[c] + 1 nadh[c] + 1 h[c]
34DHALDD1	1 34dhpac[c] + 1 nad[c] + 1 h2o[c] -> 1 34dhpacet[c] + 1 nadh[c] + 1 h[c]
r05481	1 pacald[c] + 1 nadp[c] + 1 h2o[c] <-> 1 C07086[c] + 1 nadph[c] + 1 h[c]
R02697[c]	1 4hoxpacd[c] + 1 nadp[c] + 1 h2o[c] <-> 1 4hoxpac[c] + 1 nadph[c] + 1 h[c]
R04883[c]	1 34dhmald[c] + 1 nadp[c] + 1 h2o[c] <- 1 C05580[c] + 1 nadph[c] + 1 h[c]
R02989[c]	1 3oxoadp[c] + 1 nadp[c] <-> 1 C02222[c] + 1 nadph[c] + 1 h[c]
R04096[c]	1 ivcoa[c] + 1 C04253[c] <-> 1 3mb2coa[c] + 1 C04570[c]
MBCOAi1	1 ivcoa[c] + 1 fad[c] <-> 1 3mb2coa[c] + 1 fadh2[c]
R09077[c]	1 spmd[c] + 1 o2[c] + 1 h2o[c] <-> 1 ptrc[c] + 1 aproa[c] + 1 h2o2[c]
2DHPFALDL1	1 2dhp[c] <-> 1 3mob[c] + 1 fald[c]
R09380[c]	1 C00173[c] + 1 glyc3p[c] -> 1 1ag3p_SC[c] + 1 ACP[c]
PTRCTA1	1 ptrc[c] + 1 akg[c] <- 1 4abutn[c] + 1 glu__L[c]
#added to try to fix C07330[c], C04489[c], 1 C04144[c]
rxn11944[c]	1 ahcys[c] + 1 h[c] + 1 mhpglu[c] <-> 1 amet[c] + 1 hpglu[c]
R05708[c]	1 C04083[c] + 1 h2o[c] + 1 nadp[c] <-> 1 ade[c] + 1 C07330[c] + 1 nadph[c] + 1 h[c]
R08072[c]	1 C16427[c] + 1 h2o[c] <-> 1 C04083[c] + 1 rib__D[c]
R08069[c]	1 C04713[c] + 1 h2o[c] <-> 1 C16427[c] + 1 pi[c]
R04038[c]	1 dmpp[c] + 1 amp[c] <-> 1 ppi[c] + 1 C04713[c]
#added to try to fix CoA synthesis having irregular shadow cost with some precursors having positive shadow cost
#this first block is reactions related to the hydrolysis of energy molecules
NTP51	1 ctp[c] + 1 h2o[c] -> 1 cdp[c] + 1 pi[c]
ATPM1	1 atp[c] + 1 h2o[c] -> 1 adp[c] + 1 pi[c]
NTP3pp1	1 gtp[c] + 1 h2o[c] -> 1 gdp[c] + 1 pi[c]
NTP91	1 dttp[c] + 1 h2o[c] -> 1 dtdp[c] + 1 pi[c]
NDP8ex1	1 utp[c] + 1 h2o[c] -> 1 udp[c] + 1 pi[c]
CDPPH1	1 cdp[c] + 1 h2o[c] -> 1 cmp[c] + 1 pi[c]
NDP11	1 adp[c] + 1 h2o[c] -> 1 amp[c] + 1 pi[c]
DTPH1	1 dtdp[c] + 1 h2o[c] -> 1 dtmp[c] + 1 pi[c]
NDP71	1 udp[c] + 1 h2o[c] -> 1 ump[c] + 1 pi[c]
R00113[c]	1 h2o2[c] + 1 nadph[c] + 1 h[c] -> 1 nadp[c] + 2 h2o[c]
NADHPO1	1 h2o2[c] + 1 nadh[c] + 1 h[c] -> 1 nad[c] + 2 h2o[c]
FADRx1	1 fadh2[c] + 1 nad[c] -> 1 fad[c] + 1 nadh[c] + 1 h[c]
FNOR1	2 fdxox[c] + 1 nadph[c] -> 2 fdxrd[c] + 1 nadp[c] + 1 h[c]
NDP61	1 dcdp[c] + 1 h2o[c] -> 1 dcmp[c] + 1 pi[c]
R02163[c]	1 C00390[c] + 1 nad[c] -> 1 C00399[c] + 1 nadh[c] + 1 h[c]
R00936[c]	1 thf[c] + 1 nad[c] -> 1 dhf[c] + 1 nadh[c] + 1 h[c]
#This block is related to taurine and hypotaurine metabolism, which appears to be essential when
#creating output metabolites for getting rid of excess/waste nitrogen and/or sulfur
#these first two reactions were already present, but relocated here during curation
R02466[c]	1 3sala[c] <-> 1 C00519[c] + 1 co2[c]
TAUDO1	1 taur[c] + 1 akg[c] + 1 o2[c] <-> 1 so3[c] + 1 aacald[c] + 1 succ[c] + 1 co2[c]
#these reactions were not yet present in the model
R02434[c]	1 Lcyst[c] + 1 nadh[c] + 1 h[c] <- 1 3sala[c] + 1 h2o[c] + 1 nad[c]
LCYSTCBOXL1	1 Lcyst[c] -> 1 taur[c] + 1 co2[c]
R10984[c]	1 ser__L[c] + 1 nadp[c] <-> 1 aacald[c] + 1 co2[c] + 1 nadph[c] + 1 h[c]
R02474[c]	1 pnto__R[c] + 1 h2o[c] -> 1 pant__R[c] + 1 ala_B[c]
APNPT1	1 pan4p[c] + 1 adp[c] -> 1 atp[c] + 1 ptth[c]
PNTEH1	1 ptth[c] + 1 h2o[c] -> 1 pnto__R[c] + 1 cysam[c]
R02467[c]	1 cysam[c] + 1 o2[c] -> 1 C00519[c]
R01685[c]	1 taur[c] + 1 h2o[c] + 2 ficytC[c] <-> 1 2saa[c] + 1 nh4[c] + 2 focytcc553[c] + 2 h[c]
R05651[c]	1 2saa[c] + 1 pi[c] <-> 1 actp[c] + 1 so3[c]
COAHLp1	1 coa[c] + 1 h2o[c] -> 1 pan4p[c] + 1 pap[c]
R09379[c]	1 atp[c] + 1 C18911[c] + 1 ala_B[c] <- 1 amp[c] + 1 ppi[c] + 1 4ppan[c]
DHPM11	1 56dura[c] + 1 h2o[c] <- 1 cala[c]
UPPN1	1 cala[c] + 1 h2o[c] <- 1 ala_B[c] + 1 co2[c] + 1 nh4[c]
DURAD1	1 56dura[c] + 1 nadp[c] -> 1 ura[c] + 1 nadph[c] + 1 h[c]
R09378[c]	1 atp[c] + 1 pant__R[c] <- 1 adp[c] + 1 C18911[c]
