#exchange reactions
R001ex	1 h2o[e] <->
R07210[c]	1 C15521[c] + 1 fmnh2[c] + 1 o2[c] <-> 1 C00071[c] + 1 fmn[c] + 1 so3[c] + 1 h2o[c]
R10151[c]	1 tsul[c] + 5 h2o[c] + 8 ficytC[c] -> 2 so4[c] + 8 focytcc553[c] + 7 h[c]
FDMO21	1 mso3[c] + 1 fmnh2[c] + 1 o2[c] <-> 1 fmn[c] + 1 so3[c] + 1 h2o[c] + 1 fald[c]
#Starch and sucrose metabolism
TREH1	1 tre[c] + 1 h2o[c] -> 2 glc__D[c]
GALUi1	1 utp[c] + 1 g1p[c] -> 1 ppi[c] + 1 udpg[c]
HEX11	1 atp[c] + 1 glc__D[c] -> 1 adp[c] + 1 g6p[c]
R00308[c]	1 C00965[c] + 1 h2o[c] -> 1 glc__D[c]
R00760[c]	1 atp[c] + 1 fru[c] <-> 1 adp[c] + 1 C00085[c]
R00771[c]	1 g6p[c] <-> 1 C00085[c]
R00803[c]	1 sucr[c] + 1 pi[c] -> 1 fru[c] + 1 g1p[c]
R00811[c]	1 sucr[c] + 1 C04261[c] -> 1 C16688[c] + 1 C00615[c]
GLGC1	1 atp[c] + 1 g1p[c] -> 1 ppi[c] + 1 adpglc[c]
R01823[c]	1 sucr[c] -> 1 fru[c] + 1 C00718[c]
R02110[c]	2 C00718[c] -> 1 starch[c]
R02120[c]	1 sucr[c] -> 1 fru[c] + 1 C00372[c]
R02121[c]	1 C00372[c] <-> 1 C00718[c]
R02421[c]	1 adpglc[c] -> 1 adp[c] + 1 C00718[c]
UG6PGT1	1 udpg[c] + 1 g6p_A[c] -> 1 udp[c] + 1 tre6p[c]
TRE6PP1	1 tre6p[c] + 1 h2o[c] -> 1 tre[c] + 1 pi[c]
R03118[c]	1 udpg[c] -> 1 udp[c] + 1 C00965[c]
R03526[c]	1 udpg[c] + 1 C01335[c] -> 1 udp[c] + 1 C00963[c]
R03527[c]	1 C00963[c] + 1 h2o[c] -> 1 glc__D[c] + 1 C01335[c]
FFSD1	1 C16688[c] + 1 h2o[c] -> 1 fru[c] + 1 g6p[c]
R04111[c]	1 C04261[c] + 1 malt[c] <-> 1 C00615[c] + 1 malt6p[c]
R10486[c]	1 malt6p[c] + 1 h2o[c] <-> 1 malt[c] + 1 pi[c]
R11310[c]	1 g1p_B[c] <-> 1 g6p[c]
